108年04月12日 個股日本益比、殖利率及股價淨值比,,,,,,
證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,9.52,107,10.53,1.23,107/4
1102,亞泥,6.72,107,12.58,1.02,107/4
1103,嘉泥,6.69,107,13.72,0.5,107/4
1104,環泥,5.03,107,12.28,0.73,107/4
1108,幸福,0,106,-,0.7,107/4
1109,信大,4.79,107,6.79,0.92,107/4
1110,東泥,0.61,107,135.83,1.09,107/4
1201,味全,3.46,107,11.93,1.89,107/4
1203,味王,3.88,107,14.15,1.29,107/4
1210,大成,5.68,107,12.8,1.56,107/4
1215,卜蜂,5.65,106,14.96,2.05,107/4
1216,統一,3.4,107,23.94,3.93,107/4
1217,愛之味,0,106,70.7,0.63,107/4
1218,泰山,4.26,107,19.79,1.43,107/4
1219,福壽,1.63,106,-,1.56,107/4
1220,台榮,4.13,107,21.04,0.88,107/4
1225,福懋油,1.52,107,64.87,5.24,107/4
1227,佳格,4.86,107,15.82,2.95,107/4
1229,聯華,6.31,107,14.17,1.43,107/4
1231,聯華食,5.19,107,13.6,2.16,107/4
1232,大統益,4.88,107,18.08,4.23,107/4
1233,天仁,4.95,107,19.9,2.17,107/4
1234,黑松,5.02,107,18.41,0.73,107/4
1235,興泰,15.68,106,22.96,0.48,107/4
1236,宏亞,2.78,107,120,0.85,107/4
1256,鮮活果汁-KY,4.19,107,11.99,3.03,107/4
1262,綠悅-KY,0.8,106,-,0.6,107/4
1301,台塑,5.35,107,13.95,1.94,107/4
1303,南亞,6.54,107,11.5,1.61,107/4
1304,台聚,2.51,107,23.9,0.7,107/4
1305,華夏,8.41,107,8.97,1.37,107/4
1307,三芳,2.11,107,31.18,1.15,107/4
1308,亞聚,2.06,107,27.98,0.84,107/4
1309,台達化,3.72,107,17.06,0.88,107/4
1310,台苯,8,107,10.87,1.77,107/4
1312,國喬,4.12,106,7.59,0.99,107/4
1313,聯成,4.05,107,20.93,0.8,107/4
1314,中石化,8.51,107,7.39,0.47,107/4
1315,達新,3.93,107,25.46,0.76,107/4
1316,上曜,11.45,107,16.02,1.28,107/4
1319,東陽,4.15,107,12.58,1.16,107/4
1321,大洋,0,106,-,1.09,107/4
1323,永裕,4.94,107,10.88,1.67,107/4
1324,地球,2.74,107,547.5,0.82,107/4
1325,恆大,3.06,107,23.36,0.81,107/4
1326,台化,5.71,107,12.98,1.71,107/4
1337,再生-KY,0.4,106,-,0.26,107/4
1338,廣華-KY,4.63,107,11.61,0.97,107/4
1339,昭輝,5.65,107,8.53,0.8,107/4
1340,勝悅-KY,6.5,106,20.62,0.42,107/4
1341,富林-KY,5.56,107,17.7,2.39,107/4
1402,遠東新,5.53,107,14.47,0.86,107/4
1409,新纖,6.27,107,8.91,0.76,107/4
1410,南染,5.03,107,17.95,1.54,107/4
1413,宏洲,0,106,7.21,1.54,107/4
1414,東和,4.52,106,41.65,0.51,107/4
1416,廣豐,8.11,107,10.96,0.65,107/4
1417,嘉裕,0,106,-,0.66,107/4
1418,東華,0,106,-,0.58,107/4
1419,新紡,2.02,107,44.68,1.5,107/4
1423,利華,0,106,13.72,0.59,107/4
1432,大魯閣,0,106,-,0.88,107/4
1434,福懋,5.79,107,12.85,0.89,107/4
1435,中福,0,106,-,0.76,107/4
1436,華友聯,9.4,107,9.5,1.29,107/4
1437,勤益控,2.7,107,15.08,0.65,107/4
1438,裕豐,0,106,-,2.11,107/4
1439,中和,0,106,-,1.5,107/4
1440,南紡,3.28,107,18.77,0.81,107/4
1441,大東,0,106,1.15,0.73,107/4
1442,名軒,11.69,106,38.5,0.89,107/4
1443,立益,0,106,-,0.86,107/4
1444,力麗,4.95,106,22.95,0.9,107/4
1445,大宇,2.58,107,-,0.58,107/4
1446,宏和,1.05,107,-,2.44,107/4
1447,力鵬,0,106,38.55,0.65,107/4
1449,佳和,0,106,-,0.9,107/4
1451,年興,7.13,107,13.82,0.72,107/4
1452,宏益,7.09,107,13.44,1.04,107/4
1453,大將,10.87,107,2.46,0.63,107/4
1454,台富,2.32,107,51.25,0.68,107/4
1455,集盛,2.22,107,60.13,0.73,107/4
1456,怡華,0,106,70.38,0.74,107/4
1457,宜進,5.09,107,6.31,0.73,107/4
1459,聯發,1.25,106,-,0.85,107/4
1460,宏遠,1.72,107,35.15,1.07,107/4
1463,強盛,8.97,107,9.63,1.11,107/4
1464,得力,9.61,106,37.54,1.73,107/4
1465,偉全,2.85,106,-,0.91,107/4
1466,聚隆,0,106,-,0.62,107/4
1467,南緯,0,106,-,1,107/4
1468,昶和,0,106,40.75,1.52,107/4
1470,大統新創,1.86,107,37.72,1.97,107/4
1471,首利,0,106,-,0.77,107/4
1472,三洋紡,0,106,-,4.64,107/4
1473,台南,2.16,107,42.96,0.88,107/4
1474,弘裕,2.84,107,12.13,0.72,107/4
1475,本盟,0,106,-,2.66,107/4
1476,儒鴻,2.55,107,27.04,6.99,107/4
1477,聚陽,3.4,107,29.03,4.99,107/4
1503,士電,3.53,107,15.63,0.96,107/4
1504,東元,3.92,107,14.43,0.85,107/4
1506,正道,0,106,-,2.16,107/4
1507,永大,2.8,107,39.03,2.33,107/4
1512,瑞利,0,106,-,1.78,107/4
1513,中興電,4.84,107,15.53,1.15,107/4
1514,亞力,6.64,107,13.81,1.06,107/4
1515,力山,2.49,107,36.45,5.76,107/4
1516,川飛,2.91,107,30.98,1.37,107/4
1517,利奇,1.96,106,24.88,0.72,107/4
1519,華城,1.32,107,99.13,1.94,107/4
1521,大億,6.11,107,14.84,2.56,107/4
1522,堤維西,4.9,107,13.28,1.29,107/4
1524,耿鼎,4.69,107,9.77,0.84,107/4
1525,江申,2.59,107,11.28,1.24,107/4
1526,日馳,2.74,107,16.08,2.22,107/4
1527,鑽全,6.78,107,7.89,2.13,107/4
1528,恩德,1.96,107,48.57,0.79,107/4
1529,樂士,1.33,107,21.13,1.41,107/4
1530,亞崴,6.18,107,9.38,1.05,107/4
1531,高林股,3.02,107,24.34,0.81,107/4
1532,勤美,7.16,107,7.92,1.14,107/4
1533,車王電,2.16,107,13.65,1.48,107/4
1535,中宇,3.49,107,39.87,1.3,107/4
1536,和大,3,107,24.02,4.36,107/4
1537,廣隆,6.23,107,13.35,3.35,107/4
1538,正峰新,0,106,-,0.9,107/4
1539,巨庭,7.16,107,4.96,1.21,107/4
1540,喬福,7.61,107,12.39,1.16,107/4
1541,錩泰,3.43,107,29.15,2.07,107/4
1558,伸興,7.33,107,9.83,1.89,107/4
1560,中砂,5.77,107,12.34,2.02,107/4
1568,倉佑,3.24,107,21.79,1.29,107/4
1582,信錦,7.48,107,12.09,1.94,107/4
1583,程泰,5.11,107,10.85,1.45,107/4
1587,吉茂,1.5,107,33.81,1.09,107/4
1589,永冠-KY,1.91,106,-,1.08,107/4
1590,亞德客-KY,1.31,107,27.03,4.49,107/4
1592,英瑞-KY,3.85,106,-,0.98,107/4
1598,岱宇,1.94,107,30,1.84,107/4
1604,聲寶,8.33,107,9.33,1,107/4
1605,華新,6.69,107,5.08,0.77,107/4
